10240, 0.60, 2, 41055, 41258
10240, 0.60, 4, 43434, 43629
10240, 0.60, 8, 45831, 46029
10240, 0.60, 16, 48346, 48541
12800, 0.60, 2, 51450, 51770
12800, 0.60, 4, 71044, 71373
12800, 0.60, 8, 52572, 52888
12800, 0.60, 16, 51927, 52242
1024, 0.60, 2, 286, 290
1024, 0.60, 4, 308, 312
1024, 0.60, 8, 312, 316
1024, 0.60, 16, 490, 496
2048, 0.60, 2, 2822, 2831
2048, 0.60, 4, 1684, 1694
2048, 0.60, 8, 1732, 1741
2048, 0.60, 16, 1719, 1728
4096, 0.60, 2, 5427, 5460
4096, 0.60, 4, 6822, 6855
4096, 0.60, 8, 7975, 8009
4096, 0.60, 16, 7208, 7242
7680, 0.60, 2, 26514, 26626
7680, 0.60, 4, 24786, 24900
7680, 0.60, 8, 25286, 25400
7680, 0.60, 16, 42414, 42543
10240, 0.60, 2, 36639, 36840
10240, 0.60, 4, 69571, 69772
10240, 0.60, 8, 52801, 52997
10240, 0.60, 16, 33088, 33305
12800, 0.60, 2, 60972, 61312
12800, 0.60, 4, 52654, 52987
12800, 0.60, 8, 71718, 72026
12800, 0.60, 16, 54463, 54773
1024, 0.60, 2, 282, 286
1024, 0.60, 4, 432, 435
1024, 0.60, 8, 307, 310
1024, 0.60, 16, 309, 312
2048, 0.60, 2, 1393, 1403
2048, 0.60, 4, 1657, 1667
2048, 0.60, 8, 1888, 1898
2048, 0.60, 16, 1803, 1814
4096, 0.60, 2, 4939, 4974
4096, 0.60, 4, 7100, 7134
4096, 0.60, 8, 7461, 7496
4096, 0.60, 16, 13594, 13628
7680, 0.60, 2, 22693, 22807
7680, 0.60, 4, 18599, 18713
7680, 0.60, 8, 43021, 43134
7680, 0.60, 16, 44342, 44464
10240, 0.60, 2, 42062, 42265
10240, 0.60, 4, 47581, 47935
10240, 0.60, 8, 97252, 97533
10240, 0.60, 16, 54073, 54488
12800, 0.60, 2, 55273, 55604
12800, 0.60, 4, 61153, 61478
12800, 0.60, 8, 85474, 85803
12800, 0.60, 16, 77430, 77818
1024, 0.60, 2, 392, 396
1024, 0.60, 4, 702, 706
1024, 0.60, 8, 431, 434
1024, 0.60, 16, 462, 465
2048, 0.60, 2, 1574, 1584
2048, 0.60, 4, 2409, 2420
2048, 0.60, 8, 1764, 1774
2048, 0.60, 16, 3010, 3020
4096, 0.60, 2, 8844, 8879
4096, 0.60, 4, 6107, 6142
4096, 0.60, 8, 7382, 7416
4096, 0.60, 16, 5145, 5180
7680, 0.60, 2, 21791, 21911
7680, 0.60, 4, 24161, 24336
7680, 0.60, 8, 32862, 33088
7680, 0.60, 16, 18787, 18964
10240, 0.60, 2, 44430, 44634
10240, 0.60, 4, 63846, 64075
