2048,1.1,1581,1679
4096,0.6,4837,5201
4096,0.6,4930,5286
4096,0.6,4874,5228
4096,0.6,5026,5381
4096,0.6,4839,5196
4096,0.6,4786,5143
4096,0.6,4940,5304
4096,0.6,4784,5141
4096,0.6,4912,5269
4096,0.6,4790,5142
4096,0.6,4929,5281
4096,0.6,4882,5237
4096,0.6,5076,5435
4096,0.6,4953,5310
4096,0.6,4855,5795
4096,0.6,4896,5251
4096,0.6,4914,5275
4096,0.6,4874,5262
4096,0.6,4956,5312
4096,0.6,4819,5182
4096,0.6,4825,5178
4096,0.6,4836,5196
4096,0.6,4880,5238
4096,0.6,4827,5183
4096,0.6,4875,5233
4096,0.6,4960,5314
4096,0.6,4863,6150
4096,0.6,5004,5360
4096,0.6,4899,5258
4096,0.6,4854,5206
4096,1.1,6671,7038
4096,1.1,6797,7169
4096,1.1,6980,7346
4096,1.1,6646,7018
4096,1.1,6773,7143
4096,1.1,6699,7074
4096,1.1,6771,7145
4096,1.1,6682,7043
4096,1.1,6989,7342
4096,1.1,6789,7156
4096,1.1,6727,7086
4096,1.1,6886,7247
4096,1.1,6628,7004
4096,1.1,7188,7537
4096,1.1,7012,7366
4096,1.1,7008,7375
4096,1.1,7049,7401
4096,1.1,7046,7458
4096,1.1,7010,7357
4096,1.1,6839,7203
4096,1.1,6691,7043
4096,1.1,6698,7061
4096,1.1,6787,7154
4096,1.1,6947,7334
4096,1.1,7001,7362
4096,1.1,6918,7259
4096,1.1,6971,7322
4096,1.1,6707,7100
4096,1.1,6914,7259
4096,1.1,7025,7377
7680,0.6,16207,17455
7680,0.6,16008,17320
7680,0.6,16299,17593
7680,0.6,16387,17684
7680,0.6,16495,17779
7680,0.6,16087,17333
7680,0.6,16218,17507
7680,0.6,16222,17507
7680,0.6,16636,17944
7680,0.6,16106,17388
7680,0.6,16392,17665
7680,0.6,16311,17581
7680,0.6,16423,17706
7680,0.6,16196,17472
7680,0.6,16218,17514
7680,0.6,16139,17428
7680,0.6,16219,17515
7680,0.6,16226,17504
7680,0.6,16350,17840
7680,0.6,16237,17538
7680,0.6,16053,17334
7680,0.6,16375,17646
7680,0.6,16399,17831
7680,0.6,16126,17427
7680,0.6,16206,17487
7680,0.6,16464,17735
7680,0.6,16305,17603
7680,0.6,16862,18135
7680,0.6,16435,17719
7680,0.6,16145,17941
7680,1.1,22757,24060
7680,1.1,22794,24086
7680,1.1,22798,24059
7680,1.1,22776,24052
7680,1.1,22744,24037
7680,1.1,22622,23868
7680,1.1,22561,23854
7680,1.1,22551,23836
7680,1.1,22763,24047
7680,1.1,22551,23819
7680,1.1,22485,23739
7680,1.1,22639,23923
7680,1.1,22582,23836
7680,1.1,24092,25351
7680,1.1,23071,24291
7680,1.1,22808,24120
7680,1.1,24330,25603
7680,1.1,23870,25107
7680,1.1,24069,25322
7680,1.1,23450,24695
7680,1.1,23227,24488
7680,1.1,23779,25023
7680,1.1,23819,25050
7680,1.1,23143,24468
7680,1.1,23587,24919
7680,1.1,23560,24808
7680,1.1,23224,24475
7680,1.1,23187,24689
7680,1.1,23185,24409
7680,1.1,23639,24917
10240,0.6,28418,30656
10240,0.6,28465,30720
10240,0.6,28733,31011
